id,name,form,cuisine,moods,time,effort,cost,tags,season,tier
misoshiru,豆腐とわかめの味噌汁,soup,japanese,warm,10,1,1,soy|tofu,all,free
tonjiru,豚汁,soup,japanese,warm,20,1,1,pork|soy,autumn|winter,pro
wakame_soup,わかめスープ,soup,chinese,warm|light,10,1,1,sesame,all,free
corn_soup,コーンスープ,soup,western,warm,10,1,1,milk,all,pro
komatsuna_ohitashi,小松菜のおひたし,side,japanese,light,10,1,1,soy,all,free
tomato_salad,トマトサラダ,side,western,light,5,1,1,,summer,free
kyuri_shiokombu,きゅうりの塩昆布和え,side,japanese,light,5,1,1,sesame,summer,pro
horenso_gomaae,ほうれん草のごま和え,side,japanese,light,10,1,1,sesame|soy,all,pro
hiyayakko,冷奴,side,japanese,light,5,1,1,tofu|soy,summer,pro
kinpira,きんぴらごぼう,side,japanese,warm,15,1,1,soy|sesame,all,pro
